Año Expediente,Nº Expediente,Fecha apertura,Barrio,origen,Solicita resp.,tema ,subtema,Urgencia
2014,2736,5/26/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2759,5/27/2014,CASCO ANTIGUO,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,2775,5/28/2014,MENDILLORRI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2780,5/29/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,2782,5/29/2014,CHANTREA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,2794,5/29/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,2796,5/29/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,2798,5/29/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2822,5/30/2014,SAN JUAN,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,2840,6/2/2014,BUZTINTXURI,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,2849,6/2/2014,ENSANCHE,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,2887,6/2/2014,ITURRAMA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,2921,6/3/2014,MENDILLORRI,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,2923,6/4/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2925,6/4/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2926,6/4/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2950,6/4/2014,MENDILLORRI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2951,6/4/2014,MENDILLORRI,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,2955,6/4/2014,MENDILLORRI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2968,6/5/2014,MENDILLORRI,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,2987,6/6/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2988,6/6/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2989,6/6/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2990,6/6/2014,MENDILLORRI,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,3028,6/9/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3073,6/10/2014,ABEJERAS-AZPILAGAÑA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,3077,6/10/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,3081,6/10/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3101,6/10/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3140,6/11/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3141,6/11/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,3158,6/12/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,3260,6/16/2014,MENDILLORRI,10,SI,Mantenimiento del espacio público,Aceras,NO
